team_rank,player,salary
1,Paul Millsap,20072033.00
2,Kent Bazemore,15730338.00
3,Ersan Ilyasova,8400000.00
4,Mike Dunleavy,4837500.00
5,Kris Humphries,4000000.00
6,Thabo Sefolosha,3850000.00
7,Dennis Schroder,2708582.00
8,Malcolm Delaney,2500000.00
9,Taurean Waller-Prince,2318280.00
10,Tim Hardaway,2281605.00
11,Jarrett Jack,1551659.00
12,DeAndre' Bembry,1499760.00
13,Mike Muscala,1015696.00
14,Edy Tavares,1000000.00
15,Ryan Kelly,418228.00
16,Jose Calderon,392478.00
17,Lamar Patterson,128623.00
18,Gary Neal,72193.00
19,Matt Costello,50000.00
