team_rank,player,salary
1,Al Horford,26540100.00
2,Amir Johnson,12000000.00
3,Avery Bradley,8269663.00
4,Tyler Zeller,8000000.00
5,Isaiah Thomas,6587132.00
6,Jae Crowder,6286408.00
7,Jonas Jerebko,5000000.00
8,Jaylen Brown,4743000.00
9,Marcus Smart,3578880.00
10,Kelly Olynyk,3094014.00
11,Terry Rozier,1906440.00
12,James Young,1825200.00
13,Demetrius Jackson,1450000.00
14,Gerald Green,1410598.00
15,Jordan Mickey,1223653.00
16,R.J. Hunter,1200240.00
17,Ben Bentil,250000.00
18,Damion Lee,50000.00
19,Jalen Jones,25000.00
20,Marcus Georges-Hunt,25000.00
