team_rank,player,salary
1,Brook Lopez,21165675.00
2,Jeremy Lin,11483254.00
3,Trevor Booker,9250000.00
4,Andrew Nicholson,6088993.00
5,Deron Williams,5500000.00
6,Luis Scola,5000000.00
7,Greivis Vasquez,4347826.00
8,K.J. McDaniels,3333333.00
9,Justin Hamilton,3000000.00
10,Randy Foye,2500000.00
11,Quincy Acy,1914544.00
12,Caris LeVert,1562280.00
13,Rondae Hollis-Jefferson,1395600.00
14,Marcus Thornton,1315448.00
15,Isaiah Whitehead,1074145.00
16,Anthony Bennett,1015696.00
17,Joe Harris,980431.00
18,Sean Kilpatrick,980431.00
19,Spencer Dinwiddie,726672.00
20,Jarrett Jack,500000.00
21,Andrea Bargnani,323599.00
22,Yogi Ferrell,202300.00
23,Archie Goodwin,194494.00
24,Egidijus Mockevicius,100000.00
25,Cliff Alexander,51449.00
26,Beau Beech,45000.00
27,Prince Ibeh,31969.00
