team_rank,player,salary
1,Dwyane Wade,23200000.00
2,Jimmy Butler,17552209.00
3,Rajon Rondo,14000000.00
4,Robin Lopez,13219250.00
5,Nikola Mirotic,5782450.00
6,Anthony Morrow,3488000.00
7,Michael Carter-Williams,3183526.00
8,Cameron Payne,2112480.00
9,Denzel Valentine,2092200.00
10,Joffrey Lauvergne,1709720.00
11,Jerian Grant,1643040.00
12,Bobby Portis,1453680.00
13,Isaiah Canaan,1015696.00
14,Cristiano Felicio,874636.00
15,Paul Zipser,750000.00
16,R.J. Hunter,425000.00
17,Thomas Walkup,69500.00
