team_rank,player,salary
1,Nicolas Batum,20869566.00
2,Michael Kidd-Gilchrist,13000000.00
3,Marvin Williams,12250000.00
4,Kemba Walker,12000000.00
5,Jeremy Lamb,6511628.00
6,Ramon Sessions,6000000.00
7,Cody Zeller,5318313.00
8,Frank Kaminsky,2730000.00
9,Chris Andersen,1551659.00
10,Brian Roberts,1050961.00
11,Christian Wood,874636.00
12,Treveon Graham,543471.00
13,Aaron Harrison,375579.00
14,Johnny O'Bryant,276827.00
15,Briante Weber,231521.00
16,Mike Tobey,138938.00
17,Ray McCallum,119494.00
