team_rank,player,salary
1,LeBron James,30963450.00
2,Kevin Love,21165675.00
3,Kyrie Irving,17638063.00
4,Tristan Thompson,15330435.00
5,J.R. Smith,12800000.00
6,Iman Shumpert,9700000.00
7,Channing Frye,7806971.00
8,Kyle Korver,5239437.00
9,Richard Jefferson,2500000.00
10,James Jones,1551659.00
11,Jordan McRae,874636.00
12,Kay Felder,543471.00
13,Derrick Williams,402043.00
14,Deron Williams,259626.00
15,Andrew Bogut,242224.00
16,Larry Sanders,207722.00
17,Dahntay Jones,24022.00
18,Edy Tavares,5145.00
