team_rank,player,salary
1,Dirk Nowitzki,25000000.00
2,Harrison Barnes,22116750.00
3,Wesley Matthews,17100000.00
4,Deron Williams,9000000.00
5,Dwight Powell,8375000.00
6,Nerlens Noel,4384490.00
7,Devin Harris,4228000.00
8,J.J. Barea,4096950.00
9,Seth Curry,2898000.00
10,Quincy Acy,1050961.00
11,Salah Mejri,874636.00
12,Jonathan Gibson,680937.00
13,A.J. Hammons,650000.00
14,Nicolas Brussino,543471.00
15,Dorian Finney-Smith,543471.00
16,Maurice Ndour,437318.00
17,Gal Mekel,315760.00
18,Yogi Ferrell,239767.00
19,Manny Harris,119494.00
20,Pierre Jackson,105498.00
21,Kyle Collinsworth,70000.00
22,Jarrod Uthoff,63938.00
23,Ben Bentil,31969.00
24,Quinn Cook,31969.00
25,Jameel Warney,20000.00
