team_rank,player,salary
1,Danilo Gallinari,15050000.00
2,Kenneth Faried,12078652.00
3,Wilson Chandler,11200000.00
4,Darrell Arthur,8070175.00
5,Roy Hibbert,5000000.00
6,Jameer Nelson,4540525.00
7,Will Barton,3533333.00
8,Mike Miller,3500000.00
9,Emmanuel Mudiay,3241800.00
10,Jamal Murray,3210840.00
11,Mason Plumlee,2328530.00
12,Mo Williams,2200000.00
13,Juan Hernangomez,1987440.00
14,Gary Harris,1655880.00
15,Malik Beasley,1627320.00
16,Nikola Jokic,1358500.00
17,Nick Johnson,980431.00
18,Alonzo Gee,495227.00
19,Robbie Hummel,150000.00
20,Jarnell Stokes,150000.00
21,Johnny O'Bryant,115344.00
22,D.J. Kennedy,50000.00
23,Nate Wolters,50000.00
