team_rank,player,salary
1,Andre Drummond,22116750.00
2,Tobias Harris,17200000.00
3,Reggie Jackson,14956522.00
4,Jon Leuer,10991957.00
5,Boban Marjanovic,7000000.00
6,Aron Baynes,6500000.00
7,Ish Smith,6000000.00
8,Josh Smith,5400000.00
9,Marcus Morris,4625000.00
10,Kentavious Caldwell-Pope,3678319.00
11,Stanley Johnson,2969880.00
12,Reggie Bullock,2255644.00
13,Henry Ellenson,1704120.00
14,Beno Udrih,1551659.00
15,Michael Gbinije,650000.00
16,Aaron Gray,452059.00
17,Nikola Jovanovic,30000.00
18,Ray McCallum,11949.00
