team_rank,player,salary
1,Kevin Durant,26540100.00
2,Klay Thompson,16663575.00
3,Draymond Green,15330435.00
4,Stephen Curry,12112359.00
5,Andre Iguodala,11131368.00
6,Shaun Livingston,5782450.00
7,Zaza Pachulia,2898000.00
8,David West,1551659.00
9,Anderson Varejao,1551659.00
10,JaVale McGee,1403611.00
11,Kevon Looney,1182840.00
12,Damian Jones,1171560.00
13,Ian Clark,1015696.00
14,James Michael McAdoo,980431.00
15,Jason Thompson,945126.00
16,Patrick McCaw,543471.00
17,Matt Barnes,383351.00
18,Elliot Williams,250000.00
19,Briante Weber,102898.00
20,Cameron Jones,50000.00
21,Elgin Cook,50000.00
22,Scott Wood,50000.00
23,Phil Pressey,35000.00
