team_rank,player,salary
1,Paul George,18314532.00
2,Thaddeus Young,14153652.00
3,Monta Ellis,10770000.00
4,Al Jefferson,10230179.00
5,Jeff Teague,8800000.00
6,Rodney Stuckey,7000000.00
7,C.J. Miles,4583450.00
8,Lance Stephenson,4000000.00
9,Lavoy Allen,4000000.00
10,Aaron Brooks,2700000.00
11,Myles Turner,2463840.00
12,Kevin Seraphin,1800000.00
13,Jeremy Evans,1227286.00
14,Joe Young,1052342.00
15,Rakeem Christmas,1052342.00
16,Glenn Robinson,1050500.00
17,Georges Niang,650000.00
18,Julyan Stone,50000.00
19,Ben Bentil,50000.00
20,Alex Poythress,35381.00
21,Nick Zeisloft,25000.00
