team_rank,player,salary
1,Anthony Davis,22116750.00
2,DeMarcus Cousins,16957900.00
3,Jrue Holiday,11286518.00
4,Solomon Hill,11241218.00
5,Omer Asik,9904494.00
6,E'Twaun Moore,8081363.00
7,Alexis Ajinca,4600000.00
8,Quincy Pondexter,3617978.00
9,Omri Casspi,3000000.00
10,Dante Cunningham,2978250.00
11,Alonzo Gee,1400000.00
12,Lance Stephenson,1227286.00
13,Terrence Jones,1050961.00
14,Donatas Motiejunas,576724.00
15,Cheick Diallo,543471.00
16,Reggie Williams,252676.00
17,Jordan Crawford,234915.00
18,Hollis Thompson,119494.00
19,Anthony Brown,108043.00
20,Archie Goodwin,95600.00
21,Jarrett Jack,91274.00
22,Quinn Cook,79922.00
23,Wayne Selden,31969.00
24,Axel Toupane,20580.00
