team_rank,player,salary
1,Chris Bosh,23741060.00
2,Hassan Whiteside,22116750.00
3,Goran Dragic,15890000.00
4,Wayne Ellington,6000000.00
5,Josh McRoberts,5782450.00
6,Tyler Johnson,5628000.00
7,Derrick Williams,4598000.00
8,Udonis Haslem,4000000.00
9,James Johnson,4000000.00
10,Dion Waiters,2898000.00
11,Justise Winslow,2593440.00
12,Luke Babbitt,1227000.00
13,Willie Reed,1015696.00
14,Josh Richardson,874636.00
15,Rodney McGruder,543471.00
16,Okaro White,374933.00
17,Briante Weber,328000.00
18,Stefan Jankovic,100000.00
19,Keith Benson,75000.00
20,Marcus Georges-Hunt,31969.00
