team_rank,player,salary
1,Greg Monroe,17100000.00
2,Khris Middleton,15200000.00
3,John Henson,12517606.00
4,Mirza Teletovic,10500000.00
5,Matthew Dellavedova,9607500.00
6,Spencer Hawes,6348759.00
7,Jabari Parker,5374320.00
8,Giannis Antetokounmpo,2995421.00
9,Thon Maker,2568600.00
10,Tony Snell,2368327.00
11,Larry Sanders,1865547.00
12,Rashad Vaughn,1811040.00
13,Steve Novak,1551659.00
14,Jason Terry,1551659.00
15,Michael Beasley,1403611.00
16,Malcolm Brogdon,925000.00
17,Terrence Jones,236457.00
18,Axel Toupane,51449.00
19,Gary Payton,35166.00
