team_rank,player,salary
1,Nikola Pekovic,12100000.00
2,Kevin Garnett,8000000.00
3,Cole Aldrich,7643979.00
4,Andrew Wiggins,6006600.00
5,Karl-Anthony Towns,5960160.00
6,Jordan Hill,3911380.00
7,Kris Dunn,3872520.00
8,Nemanja Bjelica,3800000.00
9,Brandon Rush,3500000.00
10,Shabazz Muhammad,3046299.00
11,Gorgui Dieng,2348783.00
12,Zach LaVine,2240880.00
13,Adreian Payne,2022240.00
14,Kevin Martin,1360305.00
15,Tyus Jones,1339680.00
16,John Lucas III,635753.00
17,Lance Stephenson,144386.00
18,Omri Casspi,138414.00
