team_rank,player,salary
1,Carmelo Anthony,24559380.00
2,Derrick Rose,21323250.00
3,Joakim Noah,17000000.00
4,Courtney Lee,11242000.00
5,Lance Thomas,6191000.00
6,Brandon Jennings,4837318.00
7,Kristaps Porzingis,4317720.00
8,Kyle O'Quinn,3900000.00
9,Mindaugas Kuzminskas,2898000.00
10,Lou Amundson,1551659.00
11,Sasha Vujacic,1410598.00
12,Willy Hernangomez,1375000.00
13,Justin Holiday,1015696.00
14,Maurice Ndour,543471.00
15,Marshall Plumlee,543471.00
16,Ron Baker,543471.00
17,Chasson Randle,243860.00
18,J.P. Tokoto,100000.00
