team_rank,player,salary
1,Russell Westbrook,26540100.00
2,Enes Kanter,17145838.00
3,Taj Gibson,8950000.00
4,Victor Oladipo,6552960.00
5,Alex Abrines,5994764.00
6,Kyle Singler,4837500.00
7,Nick Collison,3750000.00
8,Steven Adams,3140517.00
9,Ronnie Price,2557545.00
10,Doug McDermott,2483040.00
11,Domantas Sabonis,2440200.00
12,Andre Roberson,2183072.00
13,Mitch McGary,1526040.00
14,Josh Huestis,1191480.00
15,Jerami Grant,980431.00
16,Semaj Christon,543471.00
17,Norris Cole,247991.00
18,Chris Wright,100000.00
19,Kaleb Tarczewski,75000.00
20,Alex Caruso,50000.00
21,Reggie Williams,50000.00
