team_rank,player,salary
1,Bismack Biyombo,17000000.00
2,Evan Fournier,17000000.00
3,Jeff Green,15000000.00
4,Nikola Vucevic,11750000.00
5,Terrence Ross,10000000.00
6,D.J. Augustin,7250000.00
7,Jodie Meeks,6540000.00
8,C.J. Watson,5000000.00
9,Aaron Gordon,4351320.00
10,Mario Hezonja,3909840.00
11,Elfrid Payton,2613600.00
12,C.J. Wilcox,1209680.00
13,Damjan Rudez,980431.00
14,Stephen Zimmerman,950000.00
15,Arinze Onuaku,440078.00
16,Anthony Brown,51449.00
17,Marcus Georges-Hunt,31969.00
18,Patricio Garino,31969.00
