team_rank,player,salary
1,Andrew Bogut,11027027.00
2,Jerryd Bayless,9424084.00
3,Gerald Henderson,9000000.00
4,Tiago Splitter,8550000.00
5,Sergio Rodriguez,8000000.00
6,Carl Landry,6500000.00
7,Ben Simmons,5903160.00
8,Joel Embiid,4826160.00
9,Jahlil Okafor,4788840.00
10,Tibor Pleiss,3000000.00
11,Nik Stauskas,2993040.00
12,Dario Saric,2318280.00
13,Justin Anderson,1514160.00
14,Sasha Kaun,1333420.00
15,Timothe Luwawu-Cabarrot,1326960.00
16,Richaun Holmes,1025831.00
17,Robert Covington,1015696.00
18,Elton Brand,1000000.00
19,T.J. McConnell,874636.00
20,Hollis Thompson,442126.00
21,Chasson Randle,297311.00
22,Brandon Paul,155000.00
23,Shawn Long,96969.00
24,James Webb,65000.00
25,Justin Harper,57672.00
26,Dionte Christmas,50000.00
27,Cat Barber,50000.00
28,Alex Poythress,38903.00
