team_rank,player,salary
1,Eric Bledsoe,14000000.00
2,Brandon Knight,12606250.00
3,Tyson Chandler,12415000.00
4,Jared Dudley,10470000.00
5,Jared Sullinger,5628000.00
6,Alex Len,4823621.00
7,Dragan Bender,4276320.00
8,Leandro Barbosa,4000000.00
9,Mike Scott,3333334.00
10,Marquese Chriss,2941440.00
11,Devin Booker,2223600.00
12,T.J. Warren,2128920.00
13,Archie Goodwin,2094089.00
14,Tyler Ulis,918369.00
15,Alan Williams,874636.00
16,Michael Beasley,777777.00
17,Derrick Jones,543471.00
18,John Jenkins,469841.00
19,Ronnie Price,465143.00
20,Jarell Eddie,102898.00
21,Elijah Millsap,23069.00
