team_rank,player,salary
1,Rudy Gay,13333333.00
2,Arron Afflalo,12500000.00
3,Tyreke Evans,10661286.00
4,Kosta Koufos,8046500.00
5,Anthony Tolliver,8000000.00
6,Garrett Temple,8000000.00
7,Matt Barnes,6125000.00
8,Darren Collison,5229454.00
9,Langston Galloway,5200000.00
10,Ben McLemore,4008882.00
11,Willie Cauley-Stein,3551160.00
12,Buddy Hield,3517200.00
13,Georgios Papagiannis,2202240.00
14,Malachi Richardson,1439880.00
15,Ty Lawson,1315448.00
16,Skal Labissiere,1188840.00
17,Wayne Ellington,923670.00
18,Caron Butler,517220.00
19,Lamar Patterson,100000.00
20,Isaiah Cousins,100000.00
21,Jordan Farmar,82979.00
