team_rank,player,salary
1,LaMarcus Aldridge,20575005.00
2,Kawhi Leonard,17638063.00
3,Pau Gasol,15500000.00
4,Tony Parker,14445313.00
5,Manu Ginobili,14000000.00
6,Danny Green,10000000.00
7,Patty Mills,3578948.00
8,Dewayne Dedmon,2898000.00
9,Tim Duncan,1881250.00
10,David Lee,1551659.00
11,Kyle Anderson,1192080.00
12,Livio Jean-Charles,1188840.00
13,Dejounte Murray,1180080.00
14,Jonathon Simmons,874636.00
15,Joel Anthony,663810.00
16,Davis Bertans,543471.00
17,Bryn Forbes,543471.00
18,Nicolas Laprovittola,210995.00
19,Patricio Garino,100000.00
20,Ryan Arcidiacono,75000.00
