team_rank,player,salary
1,DeMar DeRozan,26540100.00
2,Jonas Valanciunas,14382022.00
3,DeMarre Carroll,14200000.00
4,Serge Ibaka,12250000.00
5,Kyle Lowry,12000000.00
6,Cory Joseph,7330000.00
7,Patrick Patterson,6050000.00
8,P.J. Tucker,5300000.00
9,Jakob Poeltl,2703960.00
10,Lucas Nogueira,1921320.00
11,Bruno Caboclo,1589640.00
12,Delon Wright,1577280.00
13,Pascal Siakam,1196040.00
14,Norman Powell,874636.00
15,Fred VanVleet,543471.00
16,Brady Heslip,56500.00
17,E.J. Singler,50000.00
18,Yanick Moreira,50000.00
19,Jarrod Uthoff,50000.00
