team_rank,player,salary
1,Bradley Beal,22116750.00
2,John Wall,16957900.00
3,Ian Mahinmi,15944154.00
4,Marcin Gortat,12000000.00
5,Markieff Morris,7400000.00
6,Otto Porter,5893981.00
7,Jason Smith,5000000.00
8,Bojan Bogdanovic,3730653.00
9,Trey Burke,3386598.00
10,Tomas Satoransky,2870813.00
11,Kelly Oubre,2006640.00
12,Brandon Jennings,1200000.00
13,Chris McCullough,1191480.00
14,Martell Webster,830000.00
15,Daniel Ochefu,543471.00
16,Sheldon McClellan,543471.00
17,Danuel House,543471.00
18,Jarell Eddie,175000.00
